priority,idle_time_part
0,2065.206896551724
1,493.1290322580645
2,362.57575757575756
3,201.34883720930233
4,128.18421052631578
5,96.51162790697674
6,58.354166666666664
7,55.5
8,52.97435897435897
9,69.0625
10,49.85294117647059
11,45.61363636363637
12,41.09375
13,33.31372549019608
14,34.088235294117645
15,32.29032258064516

